de,gsw
anbieten,Abiätä
anbieten,Abiete
anfangen,Afaa
anfangen,Afa
ankommen,Acho
ankommen,Acho
anrufen,Aliitä
antworten,Antwortä
arbeiten,Schaffä
arbeiten,Schaffä
aufhören,Uifherä
aufhören,Uifhöre
ausruhen,Uisriowä
ausruhen,Uisruiwe
auswählen,Uisweelä
beenden,Fertig machä
beenden,Fertig machä
beginnen,Afaa
behandeln,Behandlä
behandeln,Behandlä
benutzen,Bruichä
benutzen,Bruiche
berühren,Beriärä
berühren,Alängä
beschreiben,Beschriibä
beschreiben,Beschriibe
besuchen,Bsiochä
besuchen,Bsuächä
bevorzugen,Vorziä
bevorzugen,Bevorzugä
bewegen,Bewegä
bewegen,Bewegä
bleiben,Bliibä
bleiben,Bliibe
brauchen,Bruichä
brauchen,Bruiche
brennen,Brennä
bringen,Bringä
denken,Dänkä
denken,Dänkä
drücken,Drickä
drücken,Dricke
entscheiden,Entschäidä
erhalten,Ubercho
erhalten,Becho
erinnern,Bsinnä
erkennen,Bchennä
erklären,Erkläärä
erklären,Erklärä
erlauben,Erloibä
erlauben,Erlaibe
erzählen,Verzellä
erzählen,Verzelle
essen,Ässä
essen,Ässä
fahren,Fahrä
fahren,Fahrä
fallen,Ghiiä
finden,Gfindä
fragen,Fragä
fühlen,Fiilä
fühlen,Fühle
füllen,Fillä
gehen,Ga
gehen,Laifä
gehen,gah
geschehen,Passiärä
gewinnen,Gwinnä
gewinnen,Gwinnä
glauben,Gloibä
glauben,Glaibe
haben,Ha
halten,Häbä
halten,Hebä
hassen,Hassä
hassen,Hassä
helfen,Hälfä
hoffen,Hoffä
hoffen,Hoffä
hören,Gherä
hören,Losä
kaufen,Choifä
kochen,Chochä
kommen,Cho
kommen,Cho
kosten,Chostä
kämpfen,Kämpfä
kämpfen,Kämpfä
können,Chennä
können,Chenne
lachen,Lachä
lachen,Lachä
leben,Läbä
leben,Läbä
legen,Leggä
legen,Legge
lehren,Leerä
lehren,Lehrä
lernen,Leerä
lesen,Läsä
lesen,Läsä
lieben,Liäbä
lieben,Liebä
lächeln,Lachä
lügen,Liigä
lügen,Ligä
machen,Machä
nehmen,Nä
putzen,Butzä
putzen,Putzä
reden,Redä
reden,Redä
reisen,Räisä
reisen,Reise
reisen,Ferie mache
rennen,Springä
rennen,Springä
sagen,Sägä
sagen,Sägä
schauen,Liogä
schauen,Luägä
schicken,Schickä
schlafen,Schlafä
schlafen,Schlafä
schliessen,Zio tio
schliessen,Zue mache
schmerzen,Weh tio
schneiden,Schniidä
schneiden,Schniide
schreiben,Schriibä
schreien,Lärmä
sehen,Gse
sein,Sii
singen,Singä
sitzen,Sitzä
sitzen,Sitzä
spielen,Spilä
spielen,Spielä
sprechen,Redä
springen,Gumpä
springen,Springä
sterben,Stärbä
sterben,Stärbä
studieren,Studiärä
tanzen,Tanzä
tanzen,Tanzä
treffen,Träffä
treffen,Träffä
trinken,Trinkä
trinken,Trinkä
töten,Teetä
töten,Tötä
unterstützen,Understitzä
unterstützen,Unterstitzä
verbessern,Vrbessrä
verbessern,Verbesserä
vergeben,Vrgä
vergeben,Vergä
vergessen,Vrgässä
vergessen,Vergässä
vergleichen,Vergliichä
vergleichen,Vergliiche
verkaufen,Verchoifä
verlassen,Verla
verlieren,Verliirä
versprechen,Vrsprächä
verstecken,Vrsteckä
verstehen,Versta
verstehen,Verstah
versuchen,Vrsiochä
vorschlagen,Vorschla
waschen,Wäschä
waschen,Wäschä
weinen,Briälä
weitermachen,Wiiter machä
werfen,Riärä
werfen,Riehre
wiederholen,Widerholä
wissen,Wissä
wollen,Wellä
zahlen,Zahlä
zahlen,Zahlä
zeigen,Zäigä
zeigen,Zäigä
zerstören,Kabutt machä
ziehen,Ziä
ziehen,Ziäh
zubereiten,Zioberäitä
zubereiten,Zuebereitä
zuhören,Ziolosä
zählen,Zellä
zählen,Zälle
zurückkehren,Zruggcho
1,Äis
1,Äis
2,Zwäi
2,Zwäi
3,Drii
3,Drii
4,Viär
4,Viär
5,Fiif
5,Fiif
6,Sächs
6,Sächs
7,Sibä
7,Siebä
8,Acht
8,Acht
9,Niin
9,Niin
10,Zächä
10,Zä
11,Elf
11,Elf
12,Zwelf
12,Zwelf
13,Drizächä
13,Drizä
14,Viärzächä
15,Fifzächä
15,Fifzä
16,Sächzächä
16,Sächzä
17,Sibezächä
17,Siebzä
18,Achtzächä
18,Achzä
19,Niinzächä
19,Niinzä
20,Zwenzg
20,Zwänzg
30,Drissg
30,Drissg
40,Viärzg
40,Vierzg
50,Fifzg
50,Füfzg
60,Sächzg
60,Sächzg
70,Sibetzg
70,Siebezg
80,Achzg
80,Achzg
90,Ninzg
90,Ninzg
100,Hundert
100,Hundert
1000,Tuisig
1000,Tuisig
10000,Zächä tuisig
10000,Zätuisig
100000,Hundert tuisig
100000,Hunderttuisig
1000000,Äi Million
1000000,Eimillion
1000000000,Äi milliardä
1000000000,Eimilliard
