de,gsw
anbieten,abüüte
anfangen,afange
ankommen,acho
anrufen,alüte
antworten,antworte
arbeiten,schaffe
aufhören,ufhöre
ausruhen,usruebe
auswählen,uswähle
beenden,ufhöre
beginnen,afange
behandeln,behandle
benutzen,benutze
berühren,alange
beschreiben,beschriebe
bevorzugen,bevorzuge
bewegen,bewege
bleiben,bliibe
brauchen,bruche
brennen,bränne
bringen,bringe
denken,dänke
drücken,drucke
entscheiden,entscheide
erhalten,becho
erinnern,erinnere
erkennen,erkänne
erklären,erkläre
erlauben,erlaube
erzählen,verzelle
essen,ässe
fahren,fahre
fallen,gheie
finden,finde
fragen,frage
fühlen,fühle
füllen,fülle
gehen,gah
geschehen,passiere
gewinnen,gwünne
glauben,glaube
haben,ha
halten,hebe
hassen,hasse
helfen,hälfe
hoffen,hoffe
hören,lose
kaufen,chaufe
kochen,choche
kommen,cho
kosten,choste
kämpfen,kämpfe
können,chönne
lachen,lache
leben,läbe
legen,leggä
lehren,lehre
lernen,lernä
lesen,läse
lieben,liebe
lächeln,lächle
lügen,lüge
machen,mache
nehmen,näh
putzen,putze
reden,redä
reisen,reise
rennen,secklä
sagen,säge
schauen,luege
schicken,schicke
schlafen,schlafr
schliessen,zuemache
schmerzen,weh due
schneiden,schniide
schreiben,schriibe
schreien,schreie
sehen,luege
sein,sii
singen,singe
sitzen,sitzä
spielen,spiele
sprechen,rede
springen,springe
sterben,stärbe
studieren,studiere
tanzen,tanze
treffen,treffe
trinken,trinke
töten,töte
unterstützen,unterstütze
verbessern,verbessere
vergeben,vergäh
vergessen,vergässe
vergleichen,vergliche
verkaufen,ver hazfe
verlassen,verlah
verlieren,verlüüre
versprechen,verspräche
verstecken,verstecke
verstehen,verstah
versuchen,usprobiere
vorschlagen,vorschlah
waschen,wäsche
weinen,brüele
weitermachen,wiitermache
werfen,rüehre
wiederholen,wiederhole
wissen,wüsse
wollen,wellä
zahlen,zahle
zeigen,zeige
zerstören,zerstöre
ziehen,zieh
zubereiten,zuebereite
zuhören,zuelose
zählen,zehlä
zurückkehren,zruggcho
1,eis
2,zwei
3,drüü
4,vier
5,füüf
6,sächs
7,siebe
8,acht
9,nüün
10,zääh
11,elf
12,zwölf
13,drizä
14,vierzä
15,füfzä
16,sächzä
17,sibzä
18,achzä
19,nünzä
20,zwänzg
30,driisg
40,vierzg
50,füfzg
60,sächzg
70,siebezg
80,achzg
90,nünzg
100,hundert
1000,tuusig
10000,zätuuusig
100000,hunderttuusig
1000000,million
1000000000,milliard
